item,count
chambre,630
emplacement,585
petit-dejeuner,449
personnel,404
hotel,378
accueil,247
parking,209
petit,187
salle_de_bain,187
agreable,163
port,159
vue,155
place,146
situer,145
confortable,126
parfait,123
NUM,121
calme,119
bruit,115
ideal,112
propre,109
literie,102
rochelle,94
centre-ville,92
manque,90
situation,90
nuit,88
douche,88
proprete,84
excellent,83
vieux_port,81
fenetre,80
qualite,80
super,78
proximite,73
lit,72
confort,64
top,64
accueillant,64
eau,62
prix,60
bruyant,59
rue,58
centre,57
porte,57
climatisation,57
sympathique,56
vraiment,54
grand,53
clim,51
balcon,50
pied,49
matin,48
baignoire,48
sejour,47
toilette,46
etablissement,46
restaurant,46
localisation,45
ville,43
produit,42
exterieur,41
copieux,41
decoration,41
bar,40
pratique,40
falloir,40
service,40
soir,39
geographique,38
chaleureux,38
insonorisation,38
face,36
choix,36
impossible,36
aimable,36
entendre,36
serviette,35
chaud,35
sympa,35
gentillesse,35
visiter,34
varier,34
NUMh,33
souriant,32
cote,32
recommander,32
acces,32
odeur,31
ecoute,31
rapport_qualite-prix,30
rien_a_signaler,30
spacieux,30
buffet,30
deco,30
dormir,29
voiture,29
prendre,29
voisin,28
wc,28
mal,28
dommage,27
mauvais,27
demande,27
equipement,26
amabilite,26
possibilite,26
travail,26
disponible,26
bel,25
magnifique,25
exceptionnel,24
arrivee,24
joli,24
menage,24
coeur,23
idealement,23
fonctionnel,23
complet,23
trouver,22
correct,22
fermer,22
reserver,22
couloir,22
pain,22
taille,21
terrasse,21
quartier,21
cadre,21
ventilateur,21
lieu,21
isolation,21
revenir,21
jour,21
superbe,21
gout,21
salle,21
tour,20
rideau_de_douche,20
chaleur,20
point,20
simple,20
client,20
apprecier,20
desagreable,20
difficile,20
disponibilite,19
cafe,19
professionnel,19
frais,19
mur,19
rapport,19
espace,19
covid,19
vieux,18
partout,18
probleme,18
oreiller,18
lavabo,18
insonoriser,18
prestation,18
prive,18
local,18
vouloir,17
ambiance,17
isolation_phonique,17
double,17
etage,17
aime,17
mettre,17
eleve,17
serviable,17
interieur,17
absence,16
part,16
obliger,16
appreciable,16
verriere,16
sol,16
fonctionner,16
a_deux_pas,16
dur,16
payer,15
fort,15
ascenseur,15
savon,15
salle_de_eau,15
besoin,15
gentil,15
vieillot,15
proposer,15
equipe,15
charmant,15
garer,15
repas,15
maison,15
conseiller,15
moyen,14
enfant,14
donne,14
heure,14
limite,14
niveau,14
penser,14
gros,14
payant,14
cosy,14
central,13
temps,13
chaude,13
gare,13
plafond,13
disposition,13
etroit,13
pris,13
moderne,13
pression,13
week-end,13
genial,12
seche-cheveux,12
reception,12
cause,12
vitrage,12
chauffage,12
impeccable,12
poser,12
dejeuner,12
entree,12
coup,12
rideau,12
demander,12
depart,12
volet,11
quai,11
vetuste,11
bienvenu,11
arriver,11
venir,11
tard,11
insuffisant,11
accessible,11
chasse,11
froid,11
renover,11
loin,11
sanitaire,11
valise,11
croissant,11
tarif,11
saint,11
revoir,11
NUM€,11
reservation,11
plateau,11
ferme,11
refaire,11
the,11
periode,11
decorer,11
nicolas,11
ds,10
mieux,10
receptionniste,10
extremement,10
table,10
soin,10
partie_commune,10
climatise,10
femme,10
facile,10
rangement,10
canicule,10
frigo,10
boisson,10
regler,10
minuscule,10
stationnement,10
lumiere,10
restauration,10
euro,10
sale,10
attention,10
familiale,9
moment,9
detail,9
bagage,9
wifi,9
redire,9
patron,9
necessaire,9
parfaitement,9
donner,9
oublier,9
bemol,9
peinture,9
exigu,9
etoiler,9
efficace,9
prevoir,9
main,9
renovation,9
leger,9
faible,9
isole,9
rafraichissement,9
irreprochable,9
viennoiserie,9
cas,9
booking,9
suite,9
velo,9
endroit,8
isoler,8
bouchon,8
placard,8
donnant,8
fruit,8
mise,8
complique,8
vrai,8
forte,8
meriter,8
signaler,8
adorable,8
minute,8
conseil,8
matelas,8
veille,8
air,8
nouveau,8
plaisir,8
diner,8
du,7
sortir,7
journee,7
attentionne,7
mois,7
animation,7
aquarium,7
NUMeme,7
changer,7
defaut,7
hesiter,7
minimaliste,7
vmc,7
charme,7
doubler,7
entretien,7
carte,7
laver,7
retourner,7
coin,7
finition,7
ventilation,7
gel,7
decouvrir,7
partie,7
faute,7
centrale,7
marcher,7
musique,7
prise,7
monde,7
quantite,7
question,7
lumineux,7
rentrer,7
commun,7
correspondre,7
bouteille,7
vehicule,7
pret,7
soigner,7
delicieux,7
salon,7
cour,7
servir,7
rez-de-chaussee,6
court,6
profiter,6
ouvre,6
tres,6
proprietaire,6
accrocher,6
penderie,6
ensemble,6
venant,6
acceder,6
debit,6
securiser,6
famille,6
present,6
tv,6
grandeur,6
chose,6
tele,6
empecher,6
commodite,6
crochet,6
attente,6
humidite,6
samedi,6
doute,6
tapisserie,6
facilement,6
affaire,6
systeme,6
terrible,6
bain,6
employer,6
hygiene,6
ancien,6
souhaiter,6
agencer,6
chance,6
casser,6
pourtant,6
zone,6
supplementaire,6
supplement,6
preciser,6
decevant,6
recemment,6
marche,6
NUMhNUM,6
manger,6
lendemain,6
raison,6
etouffant,6
equiper,6
peiner,6
ameliorer,6
photo,6
difficulte,6
heureusement,6
coule,6
equipee,6
superieur,6
oeuf,6
bouilloire,5
patere,5
adorer,5
manteau,5
separer,5
utile,5
malheureusement,5
entendu,5
deranger,5
aout,5
moyenne,5
environnement,5
chercher,5
accueillir,5
brouiller,5
television,5
position,5
organiser,5
marathon,5
cuvette,5
aeration,5
fin,5
decoller,5
choisir,5
ranger,5
nocturne,5
imprenable,5
vetement,5
aerer,5
tomber,5
commerce,5
poussiere,5
batiment,5
inexistant,5
moquetter,5
trace,5
electrique,5
drap,5
pommeau_de_douche,5
ok,5
sonore,5
nauseabond,5
conversation,5
continuer,5
confiture,5
beurre,5
verre,5
avance,5
placer,5
refrigerateur,5
sortie,5
offrir,5
bac,5
papier,5
accroche,5
excessif,5
completement,5
merite,5
nettoyage,5
compte,5
tenu,5
diversite,5
repondre,5
nettoyer,5
formidable,5
telecommande,5
preferer,5
jeune,5
dure,5
positif,5
mn,5
chien,5
meilleur,5
triple,5
decu,5
utiliser,5
manquer,5
deplacer,5
panne,5
veranda,5
toit,5
sucrer,5
mesure,5
bocal,5
mini,5
