sentiment	text
positif	l’emplacement top la taille des chambres la terrasse pour le petit-déjeuner
positif	personnel super sympa ...
positif	situation géographique, confort des lits
positif	vue sur le vieux port.
positif	petit déjeuner très complet sucré, salé
positif	a deux pas du vieux port ou du marché et au calme.
positif	parfait pour un court séjour.
positif	chambre calme, personnel agréable, belle décoration
positif	accueil, confort, personnel à l’écoute pdt copieux et agréable
positif	petit déjeuner très moyen pas de serviettes  pain coupé très grossièrement.
positif	rapport qualité/prix super , chambre propre , la localisation en centre ville
positif	accueil chaleureux.
positif	la situation, idéale pour les visites et les restos.
positif	accueil fluent.
positif	petit déjeuner copieux sous la véranda, un bonheur...
positif	le service en chambre du plateau repas le soir ainsi que le petit déjeuner très copieux.
positif	petit-déjeuner royal, personnel parfait, emplacement pratique
positif	joli, confortable et chaleureux
positif	la taille de la chambre, le confort de la literie, le personnel, la situation géographique au coeur de la ville mais dans une rue calme, idéal pour découvrir la rochelle à pieds.
positif	un logement rénové et propre.
positif	super bien placée  équipe au top
positif	la salle du petit-déjeuner, façon jardin d'hiver est parfaite.
positif	le petit-déjeuner très apprécié, rien à redire.
positif	a 2 pas du marché.
positif	propre, personnel très agréable
positif	l'emplacement au vieux port est super pour une nuit
positif	possibilité de laisser son véhicule au parking le temps de déjeuner.
positif	chambre basique mais confortable
positif	literie hyper confortable !
positif	je recommande grandement cette hôtel.
positif	hôtel très bien situé, petit-déjeuner bon et copieux sous l'agréable véranda, personnel aimable et attentionné.
positif	tres beau buffet : du choix, de la qualite, un salon tres lumineux,
positif	l'hôtel n'y peut absolument rien car les chambres sont très bien insonorisées du bruit extérieur par 2 fenêtres.
positif	hôtel bien placé à deux pas du centre historique et des restaurants.
positif	propreté irréprochable
positif	proche du vieux bassin.
positif	literie confortable, très bon emplacement
positif	chambre spacieuse, tout le nécessaire était présent.
positif	personnel sympathique et lieu idéal pour visiter la rochelle à pied.
positif	prestations de qualité.
positif	hôtel bien placé et plutôt agréable
positif	personnel très serviable.
positif	excellent accueil !
positif	parking privé très apprécié.
positif	emplacement, petit déjeuner, confort chambre , personnel accueillant et bienveillant
positif	a recommander sans hésiter
positif	emplacement convivial et propre
positif	établissement bien situé, propre.
positif	la découverte du fort boyard, le musée du nouveau monde, les îles aix.
positif	qualité /prix : moyen
positif	!!
positif	hotel situé en centre ville et en même temps dans une rue très calme.
positif	emplacement, propreté et literie
positif	petit déjeuner .
positif	personnel professionnel et agréable.
positif	excellent accueil, très chaleureux.
positif	merci pour ce beau séjour  excellent site .
positif	emplacement idéal, parking disponible, chambres rénovées avec goût et confortables.
positif	le petit déjeuner était de bonne qualité.
positif	sa localisation par rapport au centre ville
positif	manque quelques équipements qui auraient l hotel plus accueillant…
positif	sur le petit déjeuner des enfants.
positif	chambre fonctionnelle et rénovée avec goût.
positif	petit déjeuner avec la gentillesse du personnel.
positif	chambre impeccable et très cosy.
positif	en plein centre de la rochelle.
positif	literie très confortable .
positif	très bon emplacement, chambre face au port avec un balcon personnel sympathique
positif	super emplacement.
positif	superbe !
positif	l’emplacement, le cadre et le confort, la décoration, et l’accueil par le personnel
positif	très bon accueil, personnel sympathique, beaucoup de charme dans la décoration, des petites attentions et un service d'étage sans reproche.
positif	l'hôtel, au vieux port, est vraiment central, face aux tours de la rochelle!
positif	petit déjeuner en accord avec le prix.
positif	le petit-déjeuner est très bien.
positif	petit déjeuner royal.
positif	le parking est un vrai +
